Rank,Team,Members,Σ,±,K,Сі,Д,Ш,В,І
1,Это я и мой капчик!,Логіка Шахматист Камілле Аміот,134.9,38.2,35.6,4.8,2.4,2.7,3.4,3.3
2,Bowling Club. Limited Edition.,Команда Walle Franklin Town,124.2,35.5,31.6,4.2,3.0,2.8,3.6,3.5
3,Клаборія Драум,Кайфат Адлер Пєщща Elvi,115.1,29.2,31.2,4.5,3.6,2.9,3.7,3.0
4,Ойзака,Sirius ✨ nofun Baby Yoda SiDa,113.5,25.5,32.6,4.3,3.0,2.5,3.6,3.2
5,Бандера Просто Бандер Wapi,,112.6,25.2,31.5,4.3,3.2,2.6,3.5,3.3
6,Печеньки уединились,"Sashko Mel, ZAK Немещуй",109.7,25.6,30.2,4.2,3.3,2.6,3.6,3.2
7,Сохранитесь в ваших руках и сердцах,Центральный Mikoz Jordan Буряч,109.2,22.7,30.8,4.4,2.6,2.7,3.5,3.3
8,Чели,Alcyone Phoenix Murrrt Anecs,108.8,22.6,29.8,4.2,2.8,2.6,3.6,3.2
9,Поздравки,Minsk Куда 28 Foggy Саймонс,108.3,19.9,21.2,4.5,2.1,2.4,2.4,3.2
10,"Если не мы, то кот",Red Садлер Молли JF,108.2,19.2,21.0,4.5,2.1,2.6,2.3,3.2
11,All In,Hugo Боня Сонейка Бонда,107.0,21.6,20.8,4.3,2.4,2.5,2.9,3.1
12,Самое лучшее название,Madeira seven Japonick Peso4Nica,106.4,18.5,21.2,4.3,2.4,2.2,2.8,3.0
13,Deutsche Qualität,Стаффа Юрист Lex №1,105.6,17.2,22.1,4.1,2.3,2.6,2.9,3.0
14,"Натача, какая игра, Натача!",Осо Daffy Maestro Trixter,105.5,16.8,22.3,4.3,2.3,2.3,3.0,3.0
15,LIETUVA,Eco Alisa Metaxa МЮНХЕН,102.3,14.1,21.4,4.2,2.2,2.3,2.9,3.0
16,Каша Ловка Шепка,Кулинар Lucifier Человечек Loni,102.1,14.0,21.2,4.2,2.1,2.4,2.8,3.0
17,«ще 2 тижня до турніру!Ми ще дамо!»,Mikelangelo Jinx Укрaгетс Grizzly,100.6,12.8,20.5,4.1,2.1,2.4,2.7,3.0
18,Зелений слоник,Капля Люси Вишня-Пух Боржомі,99.1,11.2,18.9,4.2,2.0,2.2,2.6,3.0
19,Arctic monkeys,Sima NSK Арктика Семерочка,96.5,10.4,18.2,4.1,2.0,2.0,2.6,2.9
20,МААФ,Атмосфера Aladdin Firefly Amira,95.8,11.4,18.2,4.0,2.1,2.1,2.5,3.0
21,Ангела Джек,Марсєль Пчела Lisa 👑 Calypso (Warsaw) Комар,90.2,10.6,21.3,4.0,2.5,2.0,2.5,3.1
